13,61441.89
12,123000
3,38469.34
1,37531.26
3,34197.8
2,38469.34
1,52234
13,50145.16
4,53833.78
1,32630.52
2,34708.96
1,35485.32
5,35907.56
12,36691.2
3,46752.94
3,43240.08
3,39431.08
4,44321.16
13,29358.42
7,42157.7
1,50000
2,40603.16
4,39519.22
15,34389.16
6,40471.86
4,43240.08
3,39431.08
22,79106.67
2,38469.34
10,38212.46
7,43725.24
4,31363.54
14,60752.64
19,69683.9
29,75122.32
10,44818.28
2,38469.34
6,46037.16
4,49369.06
7,81580.59
20,92379.25
1,27040
14,69918.83
11,45428.76
9,32549.92
2,37614.98
24,52683.8
5,27716
2,32549.92
0,20280
14,50816.48
14,47568.56
18,56353.66
1,37531.26
1,18756.4
15,36682.62
17,37883.82
13,53696.5
6,73851.23
0,27737.06
3,40240.2
3,34350.42
4,27716
1,32630.52
2,34784.1
4,42658.46
20,51963.08
3,34197.8
2,41614.82
6,63139.82
9,42305.64
1,35599.2
10,48368.06
1,31756.14
6,42658.46
14,58773
9,49369.06
2,17322.5
0,27737.06
6,41055.82
0,48095.84
11,52422.76
4,31363.54
8,43742.66
19,62271.3
14,62681.01
3,58593.36
0,30492.8
25,71449.54
9,40288.56
5,42818.36
17,86000
22,63596.52
7,54839.2
4,32550.18
22,49031.06
1,63300
17,60869.12
13,40106.04
26,25481.56
21,78840.9
11,59071.76
3,56544.71
1,27040
28,72215.52
6,52196.82
1,37531.26
6,43725.24
3,40999.92
2,38469.34
2,38469.34
20,58450.59
1,37531.26
17,40963
7,39519.22
5,38033.84
6,39519.22
14,57248.1
5,44321.16
6,90200
18,34112
15,60752.64
9,52196.82
7,43725.24
3,35907.56
4,62583.32
4,35900.8
2,38469.34
1,37531.26
12,68408.37
28,57494.06
13,48922.12
6,31363.54
30,72215.52
6,43725.24
0,35722.96
6,45428.76
14,57615.48
8,33244.9
14,27716
4,36142.6
4,53248.78
12,56414.8
29,57158.14
11,41714.92
0,20280
18,71011.98
1,36697.44
1,34905
6,136218.48
7,41055.82
2,97375
27,44276.96
21,68735.94
11,44798.52
4,77767.65
3,31756.14
0,20280
2,27716
2,40603.16
9,13520
15,30526.08
5,44321.16
5,26658.84
18,39434.98
19,47802.3
15,52086.58
1,39000
0,35722.96
1,28430.48
5,39498.42
1,27300
2,32550.18
11,42025.88
1,34784.1
9,33244.9
3,41617.94
9,40627.08
5,34882.12
4,42658.46
8,53507.74
1,72000
2,40603.16
10,47728.98
1,41925
16,71425.97
6,18539.82
6,43725.24
12,48922.12
4,43240.08
27,143571.06
2,38469.34
2,49200
3,41617.94
2,34784.1
7,46037.16
12,47087.04
27,72215.52
10,43506.58
34,53959.62
13,46474.48
9,53696.5
15,42279.38
16,64857.03
4,30521.66
21,
0,31756.14
7,43724.98
1,38525.76
0,31756.14
4,16412.76
11,54839.2
3,43240.08
23,67059.46
3,47120.21
20,75294.77
11,55458
3,59821.28
15,48264.32
3,32550.18
4,13957.84
2,29851.9
12,48922.12
12,31788.12
5,34197.8
17,41337.14
14,56210.44
21,66395.68
2,34719.88
3,39633.1
13,29723.2
23,47656.96
32,75871.9
7,27716
6,43725.24
13,47087.04
17,73787.33
2,40603.16
2,82000
2,90200
18,41580.24
9,110000
12,49576.8
18,52095.68
12,39669.5
7,41629.9
5,34538.14
5,41186.6
4,36347.48
2,40603.16
21,69965.54
2,32630.52
6,52422.76
15,52086.84
10,44818.28
12,47087.04
6,45428.76
11,48922.12
12,48368.06
22,173457.19
8,36125.44
17,45562.92
24,75871.9
18,40128.92
19,51276.16
5,38078.56
11,48368.06
4,40448.98
4,44321.16
5,98448.54
4,75275.42
6,46564.96
11,47728.98
1,68000
4,43240.08
11,41009.28
9,86275.6
12,56414.8
4,85653.18
1,31143.84
11,62681.01
17,52086.84
4,119642.55
4,53217.11
1,32630.52
9,40719.38
2,62000.12
5,44321.16
1,37531.26
14,60752.64
7,31363.54
6,38017.46
18,47087.04
3,39431.08
10,66326
12,31181.35
21,48485.32
2,34784.1
1,37531.26
10,48368.06
0,32630.52
17,41125.5
2,38949.82
4,37949.34
1,37531.26
14,46948.72
7,36222.68
3,41618.2
29,64681.86
2,39495.56
3,35699.3
1,34320
1,37531.26
24,56501.9
1,32550.18
12,60752.64
7,35485.32
41,57323.5
5,46564.96
11,48922.12
0,35722.96
6,54557.62
21,52143.68
3,27716
13,56210.44
1,30596.8
4,42658.46
1,32630.52
0,35722.96
27,36177.7
15,42446.56
12,47087.04
5,42680.82
7,36222.68
15,50816.48
20,52683.8
1,32550.18
21,50584.56
2,28430.48
11,32599.84
15,50816.48
5,42080.48
6,45428.76
1,28080
13,39349.18
2,54463.76
